slug,name,city,country,brand,status,current_url
park-hyatt-milano-italy,Park Hyatt Milano,Milan,Italy,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4475_2_57_0309.jpg
park-hyatt-new-york-united-states,Park Hyatt New York,New York City,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/12629666_2_0_0310.jpg
park-hyatt-paris-vendome-france,Park Hyatt Paris-Vendome,Paris,France,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4354_2_0_0310.jpg
park-hyatt-seoul-south-korea,Park Hyatt Seoul,Seoul,South Korea,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4031_2_0_0311.jpg
park-hyatt-siem-reap-cambodia,Park Hyatt Siem Reap,Siem Reap,Cambodia,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/687867_2_63_0312.jpg
park-hyatt-sydney-australia,Park Hyatt Sydney,Sydney,Australia,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4072_2_0_0308.jpg
park-hyatt-zurich-switzerland,Park Hyatt Zurich,Zurich,Switzerland,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4450_2_4_0311.jpg
prisi-udvar-hotel-budapest-in-the-unbound-collection-by-hyatt-hungary,"Párisi Udvar Hotel Budapest, in The Unbound Collection by Hyatt",Budapest,Hungary,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/18048712_2_0_0310.jpg
royal-palms-resort-and-spa-united-states,Royal Palms Resort and Spa,Phoenix,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4371_2_0_0310.jpg
the-chatwal-lodge-united-states,The Chatwal Lodge,White Lake,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/16896477_2_0_0224.jpg
the-lodge-at-spruce-peak-united-states,The Lodge at Spruce Peak,Stowe,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/66239_2_0_0312.jpg
the-seabird-ocean-resort-spa-united-states,The Seabird Ocean Resort & Spa,Oceanside,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/16594306_2_0_0310.jpg
thompson-houston-united-states,Thompson Houston,Houston,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/18067796_2_0_0314.jpg
thompson-madrid-by-hyatt-spain,"Thompson Madrid, by Hyatt",Madrid,Spain,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/18102190_2_0_0316.jpg
thompson-san-antonio-riverwalk-united-states,Thompson San Antonio - Riverwalk,San Antonio,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/16253827_2_0_0307.jpg
thompson-savannah-united-states,Thompson Savannah,Savannah,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/16594296_2_0_0310.jpg
thompson-zihuatanejo-mexico,Thompson Zihuatanejo,Zihuatanejo,Mexico,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4380_2_0_0310.jpg
inverlochy-castle-hotel-united-kingdom,Inverlochy Castle Hotel,Scotland,United Kingdom,ICMI - Inverlochy Castle Management International,404,https://media.virtuoso.com/m/Images/Brochures/4216_2_0_0309.jpg
david-intercontinental-tel-aviv-israel,David InterContinental Tel Aviv,Tel Aviv,Israel,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/848469_2_0_0312.jpg
intercontinental-bora-bora-resort-thalasso-spa-french-polynesia,InterContinental Bora Bora Resort & Thalasso Spa,Bora Bora,French Polynesia,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/15542952_2_0_0226.jpg
intercontinental-buckhead-atlanta-united-states,InterContinental Buckhead Atlanta,Atlanta,United States,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/4192_2_0_0311.jpg
intercontinental-hayman-great-barrier-reef-australia,InterContinental Hayman Great Barrier Reef,Hayman Island (Australia),Australia,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16129580_2_38_0228.jpg
intercontinental-paris-le-grand-france,InterContinental Paris Le Grand,Paris,France,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/4345_2_31_0313.jpg
intercontinental-phuket-resort-thailand,InterContinental Phuket Resort,Phuket,Thailand,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16633734_2_0_0311.jpg
intercontinental-sydney-australia,InterContinental Sydney,Sydney,Australia,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/3813_2_0_0228.jpg
kimpton-seafire-resort-spa-grand-cayman-cayman-islands,"Kimpton Seafire Resort + Spa, Grand Cayman",Grand Cayman,Cayman Islands,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/15602214_2_0_0222.jpg
six-senses-kaplankaya-turkey,Six Senses Kaplankaya,Milas,Turkey,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16707500_2_0_0311.jpg
six-senses-rome-italy,Six Senses Rome,Rome,Italy,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16648038_2_0_0311.jpg
six-senses-yao-noi-thailand,Six Senses Yao Noi,Phangnga,Thailand,IHG Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/4021_2_0_0311.jpg
jumeirah-marsa-al-arab-resort-residences-united-arab-emirates,Jumeirah Marsa Al Arab Resort & Residences,Dubai,United Arab Emirates,Jumeirah Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16585524_2_0_0315.jpg
jumeirah-olhahali-island-maldives,Jumeirah Olhahali Island,Malé,Maldives,Jumeirah Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16314108_2_8_0221.jpg
hotel-adlon-kempinski-berlin-germany,Hotel Adlon Kempinski Berlin,Berlin,Germany,Kempinski Hotels,404,https://media.virtuoso.com/m/Images/Brochures/4235_2_0_0326.jpg
hotel-taschenbergpalais-kempinski-dresden-germany,Hotel Taschenbergpalais Kempinski Dresden,Dresden,Germany,Kempinski Hotels,404,https://media.virtuoso.com/m/Images/Brochures/4956718_2_0_0315.jpg
kempinski-hotel-mall-of-the-emirates-dubai-united-arab-emirates,Kempinski Hotel Mall of the Emirates Dubai,Dubai,United Arab Emirates,Kempinski Hotels,404,https://media.virtuoso.com/m/Images/Brochures/18120643_2_0_0311.jpg
the-langham-boston-united-states,"The Langham, Boston",Boston,United States,Langham Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/16005996_2_0_0227.jpg
the-langham-new-york-fifth-avenue-united-states,"The Langham, New York, Fifth Avenue",New York City,United States,Langham Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/11130968_2_0_0303.jpg
the-langham-sydney-australia,"The Langham, Sydney",Sydney,Australia,Langham Hotels & Resorts,404,https://media.virtuoso.com/m/Images/Brochures/3785_2_3_0309.jpg
hotel-lungarno-italy,Hotel Lungarno,Florence,Italy,"Lungarno Collection - Florence, Rome, and Milan",404,https://media.virtuoso.com/m/Images/Brochures/4573_2_7_0310.jpg
bvlgari-hotel-shanghai-china,Bvlgari Hotel Shanghai,Shanghai,China,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/15441437_2_1_0325.jpg
bvlgari-resort-bali-indonesia,Bvlgari Resort Bali,Bali,Indonesia,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4633_2_0_0302.jpg
solaz-a-luxury-collection-resort-los-cabos-mexico,"Solaz, a Luxury Collection Resort Los Cabos",San José del Cabo,Mexico,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16158607_2_0_0225.jpg
the-us-grant-a-luxury-collection-hotel-san-diego-united-states,"THE US GRANT, a Luxury Collection Hotel, San Diego",San Diego,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4517_2_0_0311.jpg
the-canyon-suites-at-the-phoenician-a-luxury-collection-resort-scottsdale-united-states,"The Canyon Suites at The Phoenician, a Luxury Collection Resort, Scottsdale",Scottsdale,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4173456_2_32_0310.jpg
the-edinburgh-grand-a-luxury-collection-hotel-edinburgh-united-kingdom,"The Edinburgh Grand, a Luxury Collection Hotel, Edinburgh","Edinburgh, Scotland",United Kingdom,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16353010_2_0_0310.jpg
the-excelsior-a-luxury-collection-hotel-florence-italy,"The Excelsior, a Luxury Collection Hotel, Florence",Florence,Italy,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4641_2_0_0307.jpg
the-gritti-palace-a-luxury-collection-hotel-venice-italy,"The Gritti Palace, a Luxury Collection Hotel, Venice",Venice,Italy,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4579_2_109_0309.jpg
the-madrid-edition-spain,The Madrid EDITION,Madrid,Spain,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16301729_2_0_0303.jpg
the-phoenician-a-luxury-collection-resort-scottsdale-united-states,"The Phoenician, a Luxury Collection Resort, Scottsdale",Scottsdale,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/3831_2_9_0303.jpg
the-reykjavik-edition-iceland,The Reykjavik EDITION,Reykjavík,Iceland,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16235979_2_1_0303.jpg
the-ritz-carlton-beijing-financial-street-china,"The Ritz-Carlton Beijing, Financial Street",Beijing,China,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4436_2_9_0311.jpg
the-ritz-carlton-chicago-united-states,The Ritz-Carlton Chicago,Chicago,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4308574_2_4_0313.jpg
the-ritz-carlton-oahu-turtle-bay-united-states,"The Ritz-Carlton Oʻahu, Turtle Bay",Kahuku,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/16568518_2_0_0309.jpg
the-ritz-carlton-ras-al-khaimah-al-wadi-desert-united-arab-emirates,"The Ritz-Carlton Ras Al Khaimah, Al Wadi Desert",Ras Al Khaimah,United Arab Emirates,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/18213257_2_0_0227.jpg
the-ritz-carlton-reynolds-lake-oconee-united-states,"The Ritz-Carlton Reynolds, Lake Oconee",Greensboro,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/6647337_2_0_0316.jpg
the-ritz-carlton-shanghai-pudong-china,"The Ritz-Carlton Shanghai, Pudong",Shanghai,China,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/5940532_2_0_0303.jpg
the-ritz-carlton-dove-mountain-united-states,"The Ritz-Carlton, Dove Mountain",Tucson,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4956814_2_0_0313.jpg
the-ritz-carlton-half-moon-bay-united-states,"The Ritz-Carlton, Half Moon Bay",Half Moon Bay,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4156_2_0_0228.jpg
the-ritz-carlton-hong-kong-china,"The Ritz-Carlton, Hong Kong",Hong Kong,China,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/6769318_2_5_0314.jpg
the-ritz-carlton-laguna-niguel-united-states,"The Ritz-Carlton, Laguna Niguel",Dana Point,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4490_2_0_0301.jpg
the-ritz-carlton-millenia-singapore-singapore,"The Ritz-Carlton, Millenia Singapore",Singapore,Singapore,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/3812_2_0_0303.jpg
the-ritz-carlton-new-orleans-united-states,"The Ritz-Carlton, New Orleans",New Orleans,United States,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/4206_2_0_0309.jpg
the-ritz-carlton-osaka-japan,"The Ritz-Carlton, Osaka",Osaka,Japan,Luxury Group at Marriott International,404,https://media.virtuoso.com/m/Images/Brochures/15424109_2_0_0223.jpg
