slug,name,new_image_url
oneonly-aesthesis-greece,One&Only Aesthesis,https://assets.kerzner.com/api/public/content/2fc02e22c463412286a0aeb5d36e06c5?v=c4f68648&t=w2880
oneonly-cape-town-south-africa,One&Only Cape Town,https://assets.kerzner.com/api/public/content/363ef0e4cdb04b56877081c73b6daa2c?v=4587aa92&t=w2880
oneonly-ka-island-greece,One&Only Kéa Island,https://assets.kerzner.com/api/public/content/5d8e3056381f4678aa49fa3431a74148?v=978407bd&t=w2880
oneonly-mandarina-mexico,One&Only Mandarina,https://assets.kerzner.com/api/public/content/f8504bcc277348c9916723343dcd4d4f?v=6ae2ea36&t=w2880
oneonly-one-zaabeel-united-arab-emirates,One&Only One Za’abeel,https://assets.kerzner.com/api/public/content/4b736600aec340d08498951404b5cf33?v=aad33ad0&t=w2880
oneonly-royal-mirage-united-arab-emirates,One&Only Royal Mirage,https://assets.kerzner.com/api/public/content/915f17b99a47414795bf3919c14bea21?v=9ba581d8&t=w2880
castiglion-del-bosco-a-rosewood-hotel-italy,"Castiglion del Bosco, A Rosewood Hotel",https://images.rosewoodhotels.com/is/image/rwhg/rwcdb-il-borgo-with-pool
rosewood-amsterdam-netherlands,Rosewood Amsterdam,https://images.rosewoodhotels.com/is/image/rwhg/rwams_facilities_exteriorsfacades_sunrise_hotel_facade_4
rosewood-bermuda-bermuda,Rosewood Bermuda,https://picasso.rosewoodhotelgroup.com/transform/0b87e97d-ed52-4860-96b5-edbd2bfeea49/RWBER_3-0_Brand-com_Assets_Facilities_Exteriors_Aerial_BeachClub_5
rosewood-little-dix-bay-british-virgin-islands,Rosewood Little Dix Bay,https://picasso.rosewoodhotelgroup.com/transform/9d916ead-05d1-436f-857d-9af637c908e6/RWLDB_Facilities_Exteriors_BeachOverview_14
rosewood-mansion-on-turtle-creek-united-states,Rosewood Mansion On Turtle Creek,https://images.rosewoodhotels.com/is/image/rwhg/night-exterior-2
rosewood-miyakojima-japan,Rosewood Miyakojima,https://picasso.rosewoodhotelgroup.com/transform/d3a3eb5e-ef31-4425-ac51-72093b92ddf5/RWMYA_Destination_Japan_Miyakojima_NAGI_Beach
rosewood-vienna-austria,Rosewood Vienna,https://images.rosewoodhotels.com/is/image/rwhg/rwvie_destination_DSC8230
taj-cape-town-south-africa,Taj Cape Town,https://media.virtuoso.com/m/Images/Brochures/w900/5870530_2_12_0418.jpg
taj-falaknuma-palace-india,Taj Falaknuma Palace,https://media.virtuoso.com/m/Images/Brochures/w900/5898570_2_0_0418.jpg
taj-mahal-new-delhi-india,Taj Mahal New Delhi,https://media.virtuoso.com/m/Images/Brochures/w900/3931_2_0_0415.jpg
the-pierre-a-taj-hotel-new-york-united-states,"The Pierre, a Taj Hotel, New York",https://media.virtuoso.com/m/Images/Brochures/w900/4273_2_0_0413.jpg
umaid-bhawan-palace-india,Umaid Bhawan Palace,https://media.virtuoso.com/m/Images/Brochures/w900/3907_2_0_0409.jpg
the-peninsula-bangkok-thailand,The Peninsula Bangkok,https://media.virtuoso.com/m/Images/Brochures/w900/4258_2_0_0413.jpg
the-peninsula-beijing-china,The Peninsula Beijing,https://media.virtuoso.com/m/Images/Brochures/w900/4498_2_28_0416.jpg
the-peninsula-hong-kong-china,The Peninsula Hong Kong,https://media.virtuoso.com/m/Images/Brochures/w900/3760_2_0_0507.jpg
the-peninsula-istanbul-turkey,The Peninsula Istanbul,https://media.virtuoso.com/m/Images/Brochures/w900/16403612_2_0_0413.jpg
abaton-island-resort-spa-greece,Abaton Island Resort & Spa,https://abatonimages-bcb3.kxcdn.com/_1494x540_crop_center-center_90_none/home_yourstay_3.jpg
acqualina-resort-residences-on-the-beach-united-states,Acqualina Resort & Residences on the Beach,"https://d21winb9rhyn20.cloudfront.net/acqualinaresort.com-1557442666/cms/cache/v2/67740e43bf485.jpg/1366x600/fit;c:0,597,2363,1635;fp:50,28/80/942217ce1f954bda5e43f9b1be8e6ea5.jpg"
akelarre-relais-chateaux-hotel-spain,"Akelarre, Relais & Chateaux Hotel",https://akelarre.net/wp-content/uploads/2021/05/AKELARRE-RESERVAR-HOTEL.jpg
alpes-hotel-du-pralong-france,Alpes Hotel du Pralong,https://alpeshoteldupralong.com/assets/uploads/2024/11/01PRALONG-TRI24-011432-1-370x247.jpg
ambiente-sedona-a-landscape-hotel-united-states,"Ambiente Sedona, A Landscape Hotel",https://upload.ambientesedona.com/wp-content/uploads/2025/12/15204341/amb1-scaled-e1708644808936-768x389-1.webp
anassa-cyprus,Anassa,https://www.anassa.com/Resources/images/Anassa/home-banner-girl-1920x880.jpg
beyond-by-geisel-germany,BEYOND by Geisel,https://www.geisel-privathotels.de/img/gen/containers/assets/beyond%7Cbilder%7Cteaser%7Caussenansicht.jpg/aussenansicht.w-1120-h-960.8bca1b8c8c.jpg
badrutts-palace-hotel-switzerland,Badrutt's Palace Hotel,https://badruttspalace.com/media/0v3fdte3/badrutts-palace-suites.jpg?width=780&height=1568&format=webp&quality=80&v=1dcb2e5b2356190
banwa-private-island-philippines,Banwa Private Island,https://static.wixstatic.com/media/da1e84_34d004206d224943a7fa002158960462f000.jpg
beau-rivage-geneva-switzerland,"Beau-Rivage, Geneva",https://www.beau-rivage.com/_novaimg/4446078-1515357_0_219_3500_1907_2200_1200.webp
borgo-pignano-tuscany-italy,Borgo Pignano Tuscany,https://www.borgopignano.com/media/vo2f0bqo/borgo-pignano-luxury-hotel-tuscany_dji_20250613193837_0400_d.jpg?width=454&height=567&format=webp&v=1dc0b87076ac300
breidenbacher-hof-germany,Breidenbacher Hof,https://www.breidenbacherhof.com/assets/images/m/breidenbacher-hof-duesseldorf-royal-suite-01-v0yh0e90rnbhwx6.jpg
ca-sagredo-hotel-italy,Ca' Sagredo Hotel,https://www.casagredohotel.com/wp-content/uploads/sites/184/2020/10/hotel_casagredo_slide_01-2200x1200.jpg
cala-de-mar-resort-spa-ixtapa-mexico,Cala de Mar Resort & Spa Ixtapa,https://image-tc.galaxy.tf/wijpeg-5lqbqd35kttx1mubnprqaemcy/cala-de-mar-main-pool-2ps2.jpg?width=960
cap-estel-france,Cap Estel,https://www.capestel.com/media/cache/jadro_resize/rc/mt85e2rB1744099386/jadroRoot/medias/6555e88b9caf1/dji_0819-copie.jpeg
cap-maison-resort-spa-saint-lucia,Cap Maison Resort & Spa,https://capmaison.com/wp-content/uploads/2023/06/Aerial-0611.jpg
cap-st-georges-hotel-resort-cyprus,Cap St Georges Hotel & Resort,https://www.capstgeorges.com/wp-content/uploads/2022/05/home-hero.jpg
capri-tiberio-palace-italy,Capri Tiberio Palace,https://www.capritiberiopalace.it/cms-admin/materiale/pagine/elemento-18-2/capri-tiberio-palace-vista-sul-mare.jpg
carlton-hotel-st-moritz-switzerland,Carlton Hotel St. Moritz,https://images.ctfassets.net/61in5m6adgj1/7jlfSpZu2TWwLVGfO0CXrt/c5ad6dc7161ddd42db7e14b423063111/CH_Aussenansicht_1.webp?fm=webp&w=1000&h=667&q=90&fit=fill&f=center
