slug,name,city,country,hotel_company,current_url,new_image_url,image_status
domes-miramare-a-luxury-collection-resort-corfu-greece,"Domes Miramare, a Luxury Collection Resort, Corfu","Corfu",Greece,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/15774447_2_14_0223.jpg,,
hotel-alfonso-xiii-a-luxury-collection-hotel-seville-spain,"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville","Seville",Spain,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/11170223_2_0_0226.jpg,,
hotel-bristol-a-luxury-collection-hotel-warsaw-poland,"Hotel Bristol, a Luxury Collection Hotel, Warsaw","Warsaw",Poland,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4506_2_0_0311.jpg,,
htel-du-couvent-luxury-collection-hotel-france,"Hôtel du Couvent, Luxury Collection Hotel","Nice",France,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16707851_2_0_0223.jpg,,
hotel-goldener-hirsch-a-luxury-collection-hotel-salzburg-austria,"Hotel Goldener Hirsch, a Luxury Collection Hotel, Salzburg","Salzburg",Austria,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4451_2_8_0311.jpg,,
hotel-marques-de-riscal-a-luxury-collection-hotel-elciego-spain,"Hotel Marques de Riscal, a Luxury Collection Hotel, Elciego","Elciego",Spain,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/3115_2_0_0225.jpg,,
houston-grand-hotel-river-oaks-united-states,"Houston Grand Hotel - River Oaks","Houston",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/3782_2_4_0223.jpg,,
lido-house-autograph-collection-united-states,"Lido House, Autograph Collection","Newport Beach",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16383237_2_0_0304.jpg,,
mauna-kea-beach-hotel-autograph-collection-united-states,"Mauna Kea Beach Hotel, Autograph Collection","Kamuela",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4552_2_2_0310.jpg,,
muir-a-luxury-collection-hotel-halifax-canada,"Muir, a Luxury Collection Hotel, Halifax","Halifax",Canada,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16287390_2_0_0221.jpg,,
mystique-a-luxury-collection-hotel-santorini-greece,"Mystique, a Luxury Collection Hotel, Santorini","Santorini",Greece,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/2589_2_0_0311.jpg,,
nekajui-a-ritz-carlton-reserve-costa-rica,"Nekajui, a Ritz-Carlton Reserve","Liberia",Costa Rica,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/18099055_2_0_0308.jpg,,
parklane-a-luxury-collection-resort-spa-limassol-cyprus,"Parklane, a Luxury Collection Resort & Spa, Limassol","Limassol",Cyprus,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16477750_2_0_0227.jpg,,
powerscourt-hotel-resort-spa-ireland,"Powerscourt Hotel Resort Spa","Enniskerry",Ireland,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/1690778_2_0_0313.jpg,,
salterra-a-luxury-collection-resort-spa-south-caicos-turks-and-caicos-islands,"Salterra, a Luxury Collection Resort & Spa, South Caicos","South Caicos",Turks And Caicos Islands,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/18376322_2_0_0226.jpg,,
santa-marina-a-luxury-collection-resort-mykonos-greece,"Santa Marina, a Luxury Collection Resort, Mykonos","Mykonos",Greece,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/2645_2_0_0316.jpg,,
solaz-a-luxury-collection-resort-los-cabos-mexico,"Solaz, a Luxury Collection Resort Los Cabos","San José del Cabo",Mexico,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16158607_2_0_0225.jpg,,
the-canyon-suites-at-the-phoenician-a-luxury-collection-resort-scottsdale-united-states,"The Canyon Suites at The Phoenician, a Luxury Collection Resort, Scottsdale","Scottsdale",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4173456_2_32_0310.jpg,,
the-edinburgh-grand-a-luxury-collection-hotel-edinburgh-united-kingdom,"The Edinburgh Grand, a Luxury Collection Hotel, Edinburgh","Edinburgh, Scotland",United Kingdom,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16353010_2_0_0310.jpg,,
the-excelsior-a-luxury-collection-hotel-florence-italy,"The Excelsior, a Luxury Collection Hotel, Florence","Florence",Italy,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4641_2_0_0307.jpg,,
the-gritti-palace-a-luxury-collection-hotel-venice-italy,"The Gritti Palace, a Luxury Collection Hotel, Venice","Venice",Italy,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4579_2_109_0309.jpg,,
the-madrid-edition-spain,"The Madrid EDITION","Madrid",Spain,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16301729_2_0_0303.jpg,,
the-phoenician-a-luxury-collection-resort-scottsdale-united-states,"The Phoenician, a Luxury Collection Resort, Scottsdale","Scottsdale",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/3831_2_9_0303.jpg,,
the-reykjavik-edition-iceland,"The Reykjavik EDITION","Reykjavík",Iceland,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16235979_2_1_0303.jpg,,
the-ritz-carlton-beijing-financial-street-china,"The Ritz-Carlton Beijing, Financial Street","Beijing",China,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4436_2_9_0311.jpg,,
the-ritz-carlton-chicago-united-states,"The Ritz-Carlton Chicago","Chicago",United States,"Luxury Group at Marriott International",https://cache.marriott.com/is/image/marriotts7prod/chirz-exterior-9640:Classic-Hor?wid=1300&fit=constrain,,
the-ritz-carlton-oahu-turtle-bay-united-states,"The Ritz-Carlton Oʻahu, Turtle Bay","Kahuku",United States,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16568518_2_0_0309.jpg,,
the-ritz-carlton-ras-al-khaimah-al-wadi-desert-united-arab-emirates,"The Ritz-Carlton Ras Al Khaimah, Al Wadi Desert","Ras Al Khaimah",United Arab Emirates,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/18213257_2_0_0227.jpg,,
