"status","slug","name","current_url"
"404_BROKEN","grand-hotel-principe-di-piemonte-italy","Grand Hotel Principe di Piemonte","https://media.virtuoso.com/m/Images/Brochures/15979289_2_0_0306.jpg"
"404_BROKEN","grand-hyatt-indian-wells-resort-villas-united-states","Grand Hyatt Indian Wells Resort & Villas","https://media.virtuoso.com/m/Images/Brochures/4583_2_58_0312.jpg"
"404_BROKEN","grand-hyatt-tokyo-japan","Grand Hyatt Tokyo","https://media.virtuoso.com/m/Images/Brochures/6616328_2_4_0314.jpg"
"404_BROKEN","grand-hyatt-vail-united-states","Grand Hyatt Vail","https://media.virtuoso.com/m/Images/Brochures/4027_2_0_0310.jpg"
"404_BROKEN","grand-velas-los-cabos-mexico","Grand Velas Los Cabos","https://media.virtuoso.com/m/Images/Brochures/15476764_2_0_0223.jpg"
"404_BROKEN","hotel-barriere-le-grand-hotel-dinard-france","Hotel Barriere Le Grand Hotel Dinard","https://media.virtuoso.com/m/Images/Brochures/17903420_2_0_0301.jpg"
"404_BROKEN","htel-barrire-le-majestic-cannes-france","Hôtel Barrière Le Majestic Cannes","https://media.virtuoso.com/m/Images/Brochures/5805120_2_0_0222.jpg"
"404_BROKEN","hotel-crillon-le-brave-france","Hotel Crillon le Brave","https://media.virtuoso.com/m/Images/Brochures/16393441_2_0_0308.jpg"
"404_BROKEN","hotel-de-la-cit-carcassonne-mgallery-collection-france","Hotel de la Cité Carcassonne – MGallery Collection","https://media.virtuoso.com/m/Images/Brochures/4462_2_0_0311.jpg"
"404_BROKEN","hotel-fasano-angra-dos-reis-brazil","Hotel Fasano Angra dos Reis","https://media.virtuoso.com/m/Images/Brochures/15768837_2_0_0223.jpg"
"404_BROKEN","hotel-fasano-sao-paulo-itaim-brazil","Hotel Fasano Sao Paulo Itaim","https://media.virtuoso.com/m/Images/Brochures/16769756_2_0_0315.jpg"
"404_BROKEN","hotel-fasano-trancoso-brazil","Hotel Fasano Trancoso","https://media.virtuoso.com/m/Images/Brochures/16423050_2_0_0305.jpg"
"404_BROKEN","hotel-lungarno-italy","Hotel Lungarno","https://media.virtuoso.com/m/Images/Brochures/4573_2_7_0310.jpg"
"404_BROKEN","hotel-martinez-france","Hotel Martinez","https://media.virtuoso.com/m/Images/Brochures/12664483_2_0_0319.jpg"
"404_BROKEN","hotel-pitrizza-italy","Hotel Pitrizza","https://media.virtuoso.com/m/Images/Brochures/4351_2_0_0310.jpg"
